Comment,Designator,Footprint,LCSC
diode-choc,"K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30",pg1350:pg1350-D,C64898
100k,R1,Resistor_SMD:R_0603_1608Metric,
MT25QL128ABA1ESE,U3,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,C97521
