Comment,Designator,Footprint,LCSC Part #
adafruit-sharp-memory-display-no-useless,LCD1,adafruit-sharp-memory-display-1.3in-no-mounting-no-useless,
debug-port,"J2,J1",debug-port-single-side,
xiao-ble,"U1,U2",xiao-ble-smd-cutout,
1N4148,"K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30",SOD-123,
MountingHole,"H2,H3,H1,H4",MountingHole_3.2mm_M3,
Battery_Cell,"BT2,BT1",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,
MT25QL128ABA1ESE,U3,SOIC-8_5.23x5.23mm_P1.27mm,
100k,R1,R_0603_1608Metric,
